name,price,old_price,discount
"Flip E205, 2 in (Tablet and laptop) 11.6-inch Touchscreen x360, Pentium 4GB,128GB Storage, (64GB SSD Plus 64GB SD Card), Dark Blue,Refurbished","UGX 399,000","UGX 699,000",43%
"Elitebook 8460P, Intel Core I5,8GB RAM,500GB HDD,14"" Aluminium Body-Refurbished","UGX 469,000","UGX 899,000",48%
"Hp Stream Pro G2  11'6  Inch Mini Laptop, Celeron, 4GB Ram 64GB SSD – Grey- Renewed","UGX 329,000","UGX 650,000",49%
Refurbished probook  G1 Touchscreen screen X360. Intel/celeron 4GB RAM  128GB SSD 11.6 inch plus  a pouch - grey,"UGX 485,000","UGX 900,000",46%
"Acer Mini Laptop.4GB RAM 128GB SSD, 12Inches Plus Free Laptop Sleeve - Black(Renewed)","UGX 349,000","UGX 809,000",57%
"Acer Mini Intel Celeron 4GB RAM 128GB Storage, 12 Inches Screen- Black(Renewed)","UGX 359,000","UGX 899,000",60%
100e 4th Gen 128GB Strorage (64SSD + 64 Memory Card)EMMC 4GB RAM WiFi - HDMI - Camera - Bluetooth Refurb (6 Months WRTY) Small & Slim.,"UGX 335,000","UGX 590,000",43%
EliteBook  G3 Intel Core i7 6th Gen 8GB RAM 256GB SSD 14 Inches HD Display-Refurbished-Silver Windows 11,"UGX 890,000","UGX 1,800,000",51%
"Lenovo ThinkPad X100e Laptop – 4GB RAM, 320GB HDD. Refurbished.","UGX 345,000","UGX 5,500,000",94%
"Lenovo Thinkpad X270  i7  7Th Gen 16GB RAM 512GB SSD, 12.5 inch Renewed (6 MONTHS WARRANTY)","UGX 990,000","UGX 1,600,000",38%
DELL Refurbished Latitude 11'' Inch 3180/3190 128GB SSD/4GB RAM Plus Free Mouse Pad-Dark Grey/ Black (Grade A),"UGX 360,000","UGX 650,000",45%
"Lenovo Thinkpad Yoga 11"" Touchscreen 11.6"",Intel Celeron ,4GB RAM,128GB SSD -Black,Renewed","UGX 399,000","UGX 689,982",42%
"Hp EliteBook 840 Core i5 Up To 2.3 GHz, 16GB RAM, 500 GB HDD With a Mouse - Black","UGX 644,000","UGX 990,000",35%
"Refurbished Elitebook 840 G5/G6 14"" Core I5 , 8GB DDR4 Ram, 256GB SSD – Silver","UGX 970,000","UGX 1,900,000",49%
"MacBook Pro 13"" 2012 Intel Core i5 8GB Ram 500GB  (Refurbished) - Silver","UGX 670,000","UGX 900,000",26%
Refurbished  Probook 640 Core I5 8GB Ram 500GB HDD 14 Plus Mouse-Black,"UGX 525,000","UGX 1,400,000",63%
"MacBook Pro 13"" 2012 Intel Core i5 8GB Ram 500GB (Refurbished) - Silver.","UGX 650,000","UGX 1,278,990",49%
"Lenovo X270/X260  Laptop, Intel Core i5,6th/7th Generation, 8GB RAM, 256GB SSD, 12.5 inch Renewed (6 MONTHS WARRANTY)","UGX 649,000","UGX 1,190,000",45%
Apple 2017 MacBook Pro 13-inch core i5 8 GB RAM 128 GB SSD - Silver,"UGX 2,500,000",,
"Mini Laptop,Intel Celeron.4GB RAM 64GB SSD, 12Inches - Black-Refurbished","UGX 329,000","UGX 660,000",50%
"Refurbished Probook Touch Screen X360,Intel,4GB RAM,128GB SSD, 11.6-Grey (Grade A)","UGX 440,000","UGX 800,000",45%
"Certified (Refurbished) 14"" EliteBook 840 Core I5, 16GB RAM, 500GB HDD - Silver","UGX 629,000","UGX 1,899,900",67%
Renewed Probook 640 core i5 12GB RAM 500GB  HDD (Refurbished) Black,"UGX 578,000","UGX 1,200,000",52%
"Refurbished 3189/3190,Pentium/Celeron ,4GB RAM,128GB SSD,11"" Touch With Mouse, Pouch & Foam Cleaner - Grey (6MTHS WRTY)","UGX 599,900","UGX 1,290,006",53%
"Refurbished Probook Touch Screen X360,Intel,4GB RAM,128GB SSD, 11.6 Plus Free Mouse- (Grade A)","UGX 440,000","UGX 650,000",32%
"Hp ELITEBOOK 840 14"" i5 8GB RAM 500GB Storage Windows 10 Plus Free Smart Watch - Black","UGX 580,000","UGX 1,300,000",55%
"EliteBook 14'' Intel Core I5, 16GB PC3L RAM, 500GB HDD  - Refurbished - Black","UGX 609,000","UGX 1,359,909",55%
"Refurbished ProBook 11 G2 Mini Laptop, 11'6 Core, 4gb Ram 64GB SSD – Grey","UGX 329,000","UGX 678,090",51%
"Thinkpad 100e 4th Gen 11.6"" 4GB RAM,128GB SSD (64 ssd +64 Memory Card),Rugged & Spill Resistant Mini Refurbished Laptop","UGX 338,000","UGX 550,000",39%
Hp EliteBook 830 / 840 G8 Core i7 16GB Ram 512gb SSD Storage 11th Generation Renewed - Silver,"UGX 1,999,000","UGX 3,000,000",33%
"Lenovo Thinkpad X1 Carbon 7th Gen Intel Core i7 14 Inch Slim Laptop, 16GB RAM 512GB SSD (Renewed)","UGX 1,300,000","UGX 2,500,000",48%
"DELL Latitude 3340/3350 13.3 Inch Intel Core I3, 16GB RAM, 1TB HDD (Renewed)with Free Bag - Grey","UGX 599,900","UGX 1,100,000",45%
"Hp Stream Probook G2/G3  11'6  Inch Mini Laptop, Celeron, 4GB Ram 64GB SSD – Black- Renewed","UGX 329,000","UGX 600,000",45%
